cohort,sample_id,immune_score,stromal_score,estimate_score,tumor_purity,n_immune_genes_covered,n_stromal_genes_covered
Limagne1,A18_1848_1,0.10059294544298084,-0.03744367351206725,0.06314927193091358,0.9077196153712833,137,136
Limagne1,A18_1253,0.27964639062993185,0.17346824481083561,0.45311463544076747,0.5015970942006772,137,136
Limagne1,A17_6222,0.2544530431751394,0.13261895570669294,0.3870719988818323,0.5884596671231559,137,136
Limagne1,A17_6220_1,0.13661009711770877,0.07079183667234969,0.20740193379005845,0.790296660386576,137,136
Limagne1,A17_5918_2,0.07399957221342926,0.08053683129245497,0.1545364035058842,0.8383825899641837,137,136
Limagne1,A17_5761_1,0.04347517335850631,0.0794636443387755,0.1229388176972818,0.8643858285621603,137,136
Limagne1,A17_5217_1,0.2296075601021385,0.13939568413520226,0.36900324423734077,0.6111607302842262,137,136
Limagne1,A17_5_2,0.010011116221961748,0.09518163322841489,0.10519274945037663,0.878060803634177,137,136
Limagne1,A17_3877,0.31493974411702097,0.046016574973880384,0.36095631909090137,0.6211133824602185,137,136
Limagne1,A17_3774_1,0.13708211263173517,0.06914829974211431,0.20623041237384948,0.7914225335676426,137,136
Limagne1,A17_2652_2,0.10327614706804585,-0.016527800726546756,0.08674834634149908,0.8915511559524297,137,136
Limagne1,A17_2572_1,0.15401467185447698,0.09633592235574895,0.25035059421022593,0.7472070654024616,137,136
Limagne1,A17_1042_2,0.05084324975950103,0.061817672587681685,0.11266092234718272,0.872388382813481,137,136
Limagne1,A16_689,-0.024771983271128038,-0.017994738557981532,-0.042766721829109566,0.964657212091847,137,136
Limagne1,A16_6076_1,0.15013503342353968,0.06791486271207071,0.21804989613561038,0.7799414368967117,137,136
Limagne1,A16_5788_II,0.06853298769211519,-0.027211402139186915,0.041321585552928274,0.9215652962958361,137,136
Limagne1,C15_3437_1,-0.006828292126044579,0.021190980959482644,0.014362688833438065,0.9371698516380629,137,136
Limagne1,A16_5521_1,0.09265217885982278,-0.012983760021823755,0.07966841883799902,0.8965314245827166,137,136
Limagne1,A16_5450,0.12421703147684082,0.0840782035196978,0.20829523499653863,0.7894363690852968,137,136
Limagne1,A16_2894,0.167063490731299,0.019440142073528958,0.18650363280482796,0.8099753964378005,137,136
Limagne1,A16_2286,0.004257190247897233,-0.014820533363822006,-0.010563343115924773,0.950104143329575,137,136
Limagne1,A16_212_2,0.280037186306313,0.06572137983954525,0.34575856614585826,0.6396385665559396,137,136
Limagne1,A16_1658_1,0.20784949973613356,0.03790705487709136,0.24575655461322493,0.7519820352771495,137,136
Limagne1,A16_1489_1,0.10146490809770359,0.05366561314772228,0.15513052124542587,0.8378736859975946,137,136
Limagne1,A16_6391_1,0.08342639486344293,0.080875739347872,0.16430213421131493,0.8299252921926086,137,136
Limagne1,A15_5889_1,0.05145773346267644,0.05029752402384781,0.10175525748652425,0.8806311986630905,137,136
Limagne1,A15_5827_,0.1300163315779395,0.03588536074322622,0.1659016923211657,0.8285213906620251,137,136
Limagne1,A15_5825_1,-0.022117395753100712,-0.08562622413239233,-0.10774361988549305,0.9864803719593013,137,136
Limagne1,A15_5730_1,0.09496999144534878,0.01680040934144292,0.1117704007867917,0.8730710907613916,137,136
Limagne1,A15_4305,0.10127129788922092,0.0051954424800564275,0.10646674036927735,0.8771016707887271,137,136
Limagne1,A15_4090_1,0.09417730639458889,0.0799773667896576,0.1741546731842465,0.8211950399201141,137,136
Limagne1,A15_3549_1,0.1681026338054749,0.08877980671527778,0.2568824405207527,0.7403510800337595,137,136
Limagne1,A15_2146_2,-0.01710382981182588,-0.036132423941284936,-0.053236253753110814,0.9688588742570166,137,136
Limagne1,A15_2145_II2,0.2540362895673362,0.08672724004010518,0.3407635296074414,0.6456481951948737,137,136
Limagne1,A15_1759_1,0.1867289561807961,0.11623053235246354,0.30295948853325966,0.689817165510758,137,136
Limagne1,A15_2890_2,0.22312917635440868,0.097433583938758,0.32056276029316666,0.6695431852566321,137,136
Limagne1,A15_1673_2,0.1948225771935421,0.11604950398058327,0.31087208117412535,0.6807683966355774,137,136
Limagne1,A14_4829_2,0.06588862930456922,0.010866683724770993,0.07675531302934022,0.8985484612987255,137,136
Limagne1,A14_3243_1,0.20666954959667636,0.12229065130176738,0.32896020089844374,0.659690514775474,137,136
Limagne1,A14_118_2,0.012703234683389866,-0.10973274535564427,-0.0970295106722544,0.9835836706217836,137,136
Puch,X190511_59F,0.0748507610491442,0.04634662541200389,0.1211973864611481,0.7757802077066425,140,138
Puch,X190511_83F,0.1798395489967695,0.029535678427973677,0.20937522742474315,0.67696373923988,140,138
