signature,collection,n_cohorts,mean_observed_auroc,mean_null_auroc,mean_advantage,n_cohorts_beating_null,frac_cohorts_beating_null,stouffer_z,stouffer_p,fdr_q,beats_null_fdr05
Tgd_Bindea_et_al,iobr,15,0.5243309294965154,0.4924620791192327,0.03186885037728265,3,0.2,1.1078149282378889,0.13397087581038647,0.2009563137155797,False
PPAGs,iobr,14,0.5230190178082101,0.5110224108098768,0.011996606998333437,3,0.21428571428571427,0.8917871006510834,0.18625352851306842,0.27139799869047115,False
Interferons_Li_et_al,iobr,15,0.5210197991549477,0.49031989827627986,0.03069990087866773,3,0.2,1.88977745282633,0.02939386514273152,0.05169265938894164,False
T_helper_cells_Bindea_et_al,iobr,14,0.518903944544921,0.4897350966285176,0.029168847916403225,2,0.14285714285714285,2.3321560640608494,0.009846241284307316,0.020496257367333594,True
CD8_T_cells_Bindea_et_al,iobr,14,0.5187891840172817,0.4899513374856972,0.028837846531584572,1,0.07142857142857142,1.7656684201532649,0.03872574692956827,0.0661451896684023,False
Tcm_Bindea_et_al,iobr,14,0.5176584558137755,0.4899729557208146,0.02768550009296091,2,0.14285714285714285,1.4914134910218209,0.06792648413377127,0.10659232894837953,False
CAF_Peng_et_al,iobr,15,0.5156805884944589,0.510246819460024,0.00543376903443488,3,0.2,-0.3701204303044606,0.6443536199083792,0.8061108992365968,False
Type_II_IFN_Reponse_Rooney_et_al,iobr,14,0.5145648766103015,0.4954138566740625,0.019151019936238873,1,0.07142857142857142,0.7090657533207787,0.23914183693271124,0.3435558784103739,False
iDC_Bindea_et_al,iobr,15,0.5141028968854909,0.4890532695216795,0.025049627363811427,3,0.2,1.5368155403894705,0.0621692433740505,0.10065496546274842,False
Cytokine_Receptors_Li_et_al,iobr,15,0.5121771337385288,0.4862628781068895,0.02591425563163922,6,0.4,2.160306953419317,0.015374457520129694,0.029588578623645823,True
MT_exosome,iobr,14,0.5083563257727712,0.4909230797100745,0.017433246062696837,0,0.0,1.108738293105081,0.13377154866648322,0.2009563137155797,False
DDR,iobr,15,0.5082379865044123,0.5116744406191556,-0.003436454114743252,4,0.26666666666666666,-1.4583867646784243,0.9276330166401995,0.9999999999999997,False
NK_cells_Bindea_et_al,iobr,15,0.5066567442179742,0.48776664119620905,0.01889010302176507,2,0.13333333333333333,1.5450504002888334,0.061167036450850205,0.10062964061268906,False
Pan_F_TBRs,iobr,15,0.505141395690397,0.5091967775144259,-0.004055381824028925,3,0.2,-0.2703204150938824,0.6065431195874363,0.783131622758462,False
Cytokines_Li_et_al,iobr,15,0.5048754208734262,0.4858698171404531,0.019005603732973126,6,0.4,1.7634900724227258,0.038908935099060175,0.0661451896684023,False
Mast_cells_Bindea_et_al,iobr,14,0.5035790807929799,0.50965466634551,-0.006075585552530004,1,0.07142857142857142,-0.38006101631054146,0.64804993860197,0.8061108992365968,False
MDSC_Peng_et_al,iobr,15,0.5009305514020127,0.5122340222720829,-0.011303470870070146,2,0.13333333333333333,-0.2321713481877186,0.5917975346951286,0.7738890838320913,False
Mismatch_Repair,iobr,14,0.5007862893972389,0.5093552262560807,-0.008568936858841747,0,0.0,-0.9735805620880494,0.8348675792368307,0.9901917800250783,False
Tem_Bindea_et_al,iobr,15,0.5005927028198702,0.4890937883098736,0.011498914509996842,2,0.13333333333333333,0.6864558756058048,0.24621283993842824,0.34880152324610664,False
GPAGs,iobr,15,0.49911021787245785,0.5114264243375646,-0.012316206465106805,2,0.13333333333333333,-1.3159337297107088,0.9059018567364143,0.9999999999999997,False
Lymph_vessels_Bindea_et_al,iobr,14,0.49852891164579916,0.5051101013392183,-0.0065811896934191705,1,0.07142857142857142,-0.5236936571650719,0.6997541860130858,0.8497015115873185,False
TAM_Peng_et_al,iobr,15,0.49507167983571715,0.5105233537491272,-0.015451673913409965,2,0.13333333333333333,-0.511702144949537,0.6955702576421883,0.8497015115873185,False
Nature_metabolism_Hypoxia,iobr,15,0.49130866930162465,0.4903548440589795,0.0009538252426451455,2,0.13333333333333333,0.12458923847911661,0.4504243742299312,0.6125771489527064,False
Homologous_recombination,iobr,14,0.48977172708239713,0.5098986825878693,-0.02012695550547216,0,0.0,-1.6807859668783085,0.9535977523119212,0.9999999999999997,False
Th17_cells_Bindea_et_al,iobr,14,0.48935607085271415,0.494068198040807,-0.004712127188092954,0,0.0,-0.08400682005785942,0.5334744953416422,0.7066805003226948,False
Molecular_Cancer_m6A,iobr,14,0.4875530670612129,0.49060221534976023,-0.0030491482885473147,0,0.0,0.2830913322325021,0.38855341290997336,0.5355736232002336,False
TGFb_Family_Member_Receptor_Li_et_al,iobr,14,0.4865328284100029,0.5093475831117106,-0.02281475470170765,1,0.07142857142857142,-0.9235031282186211,0.8221274645349791,0.9865529574419749,False
Eosinophils_Bindea_et_al,iobr,14,0.4855790482133924,0.48938230949681744,-0.0038032612834251584,2,0.14285714285714285,-0.3675829670115389,0.6434078913377889,0.8061108992365968,False
Positive_regulation_of_exosomal_secretion,iobr,14,0.48161557115061093,0.4906985508122143,-0.009082979661603374,0,0.0,0.045681992747474955,0.4817818582650011,0.6466019676714488,False
Cell_cycle,iobr,15,0.4739983646326459,0.5119320374312072,-0.03793367279856145,2,0.13333333333333333,-4.457223079657085,0.9999958485905699,0.9999999999999997,False
CellCycle_Reg,iobr,15,0.47275031117803956,0.5087983252217634,-0.03604801404372376,1,0.06666666666666667,-1.9660460964952593,0.975353356953582,0.9999999999999997,False
Neutrophils_Bindea_et_al,iobr,15,0.46761781987988915,0.510538545180455,-0.042920725300565704,1,0.06666666666666667,-2.1096343104518973,0.9825550666804245,0.9999999999999997,False
Histones,iobr,12,0.46303473757825336,0.505490999965014,-0.042456262386760625,0,0.0,-1.4199607689396163,0.9221904486792126,0.9999999999999997,False
T_cell_exhaustion_Peng_et_al,iobr,15,0.4576848497230871,0.5123414030525938,-0.054656553329506787,1,0.06666666666666667,-3.646407207598819,0.9998670337769244,0.9999999999999997,False
Macrophages_Bindea_et_al,iobr,15,0.4502552605651016,0.5106226021131918,-0.060367341548090175,2,0.13333333333333333,-3.8435225341890624,0.9999393595712354,0.9999999999999997,False
Neutrophils_Rooney_et_al,iobr,14,0.44914204245135253,0.5092666959155457,-0.06012465346419336,0,0.0,-2.666001955058424,0.9961620376711765,0.9999999999999997,False
T_cell_regulatory_Peng_et_al,iobr,14,0.44603655123218955,0.5102016657442269,-0.06416511451203732,1,0.07142857142857142,-4.431927241477938,0.9999953302732291,0.9999999999999997,False
MDSC_Wang_et_al,iobr,15,0.4351974346159134,0.5114128743368679,-0.07621543972095442,1,0.06666666666666667,-5.038763326338361,0.9999997657252763,0.9999999999999997,False
Macrophages_Rooney_et_al,iobr,15,0.42854014178217376,0.5114636153745098,-0.08292347359233597,1,0.06666666666666667,-3.809407621783786,0.9999303499299733,0.9999999999999997,False
Treg_Rooney_et_al,iobr,14,0.41050689188706946,0.5084108289389103,-0.09790393705184097,0,0.0,-4.122542315874635,0.9999812643126057,0.9999999999999997,False
ICB_resistance_Peng_et_al,iobr,15,0.4026825620266902,0.5118235323074959,-0.10914097028080579,0,0.0,-8.066653467878101,0.9999999999999997,0.9999999999999997,False
Exhausted_CD8_Danaher_et_al,iobr,14,0.36088729426008265,0.5060001058891546,-0.1451128116290719,0,0.0,-6.062654921518447,0.9999999993305363,0.9999999999999997,False
