cohort,signature,method,auroc_raw,auroc_partialled,delta,corr_with_gep,corr_with_infiltration
Mariathasan,Normal_mucosa_Bindea_et_al,ssgsea,0.5813666784078901,0.5904367735117999,0.00907009510390977,-0.12738321118066934,-0.33359227771269495
Mariathasan,PPAGs,ssgsea,0.5807502641775273,0.5854174004931314,0.004667136315604115,-0.19072911245881818,-0.25753924677896306
Mariathasan,Pan_F_TBRs,ssgsea,0.5547728073265235,0.5603205353997887,0.005547728073265201,-0.27899895391916474,-0.44916836654411024
Mariathasan,Positive_regulation_of_exosomal_secretion,ssgsea,0.5655160267699895,0.5896442409299049,0.024128214159915395,-0.33450194571798686,-0.3400382945540134
Mariathasan,SW480_cancer_cells_Bindea_et_al,ssgsea,0.6559528002817894,0.6489961253962663,-0.006956674885523095,0.36173310153153926,0.34033103646508406
Mariathasan,TAM_Peng_et_al,ssgsea,0.5747622402254315,0.5886755899964776,0.01391334977104608,-0.18896419837810235,-0.45780550765051947
Mariathasan,TCR_signaling_Pathway_Li_et_al,ssgsea,0.5248326875660444,0.518404367735118,-0.006428319830926399,0.8520692095856123,0.9173737797021368
Mariathasan,TFH_Bindea_et_al,ssgsea,0.5589996477632969,0.5604085945755548,0.001408946812257894,0.4536982303580539,0.5084794905034815
Mariathasan,TGFb_Family_Member_Li_et_al,ssgsea,0.5624339556181754,0.5607608312786192,-0.0016731243395562423,0.23979133676903355,0.08348916459761686
Mariathasan,TGFb_Family_Member_Receptor_Li_et_al,ssgsea,0.6076083127861923,0.6061113067981684,-0.0014970059880239361,0.19974765523649096,0.04984075540094106
Mariathasan,TMEscoreA_CIR,ssgsea,0.6169425854174005,0.7073793589292005,0.0904367735117999,0.9383662766409964,0.8311392504113883
Mariathasan,TMEscoreB_CIR,ssgsea,0.5775801338499472,0.5788129623106728,0.001232828460725588,-0.17224844031201336,-0.3787466328348081
Mariathasan,TNF_Family_Members_Li_et_al,ssgsea,0.43078548784783377,0.3733709052483269,-0.05741458259950688,0.6601216670372595,0.7497494599150722
Mariathasan,TNF_Family_Members_Receptors_Li_et_al,ssgsea,0.4560584712927087,0.3997005988023952,-0.05635787249031349,0.643563140182894,0.7711910207008958
Mariathasan,T_cell_accumulation_Peng_et_al,ssgsea,0.4701479394152871,0.4336033814723494,-0.036544557942937705,0.5340489097050513,0.704206086716738
Mariathasan,T_cell_exhaustion_Peng_et_al,ssgsea,0.5097745685100388,0.547551954913702,0.03777738640366324,-0.6281677340081511,-0.7638305514634709
Mariathasan,T_cell_regulatory_Peng_et_al,ssgsea,0.515322296583304,0.5324057766819302,0.017083480098626258,-0.7795900651557626,-0.8502171900397079
Mariathasan,T_cells_Bindea_et_al,ssgsea,0.5591757661148292,0.5819830926382529,0.022807326523423654,0.8666830121629491,0.8967625673522507
Mariathasan,T_helper_cells_Bindea_et_al,ssgsea,0.5870024656569215,0.5884994716449454,0.0014970059880239361,0.41003291222732197,0.36304922313946725
Mariathasan,Tcm_Bindea_et_al,ssgsea,0.49101796407185627,0.47763296935540683,-0.013384994716449439,0.20642944828556584,0.33183648897898665
Mariathasan,Tem_Bindea_et_al,ssgsea,0.49612539626629093,0.4546495244804509,-0.04147587178584006,0.6656999564294154,0.792657452375247
Mariathasan,Tgd_Bindea_et_al,ssgsea,0.4322824938358577,0.42506164142303626,-0.0072208524128214435,0.08715004499129768,0.15112608353113208
Mariathasan,Th17_cells_Bindea_et_al,ssgsea,0.4446988376188799,0.44381824586121876,-0.0008805917576611422,0.08230276132874463,0.06759438316211226
Mariathasan,Th1_cells_Bindea_et_al,ssgsea,0.5051074321944347,0.49330750264177525,-0.011799929552659405,0.7908845898862953,0.8077803638483199
Mariathasan,Th2_cells_Bindea_et_al,ssgsea,0.5977456851003875,0.5924621345544205,-0.005283550545966964,0.29644845009314746,0.13722421498380166
Mariathasan,Treg_Rooney_et_al,ssgsea,0.47305389221556887,0.4601972525537161,-0.012856639661852798,-0.8099026217340869,-0.8990783004793929
Mariathasan,Type_II_IFN_Reponse_Rooney_et_al,ssgsea,0.46671363156040857,0.4589644240929905,-0.007749207467418084,0.05228857267138634,0.28844728006611936
Mariathasan,Type_I_IFN_Reponse_Rooney_et_al,ssgsea,0.552923564635435,0.5591757661148292,0.006252201479394204,0.6732201241597963,0.5741455331691199
Mariathasan,WNT_target,ssgsea,0.6091933779499824,0.6116590348714336,0.002465656921451176,0.22728477588894958,0.15209728292578822
Mariathasan,aDC_Bindea_et_al,ssgsea,0.5930785487847834,0.6376364917224375,0.04455794293765414,0.8063159994234916,0.644127920607227
