cohort,signature,method,auroc_raw,auroc_partialled,delta,corr_with_gep,corr_with_infiltration
Puch,Cytokine_Receptors_Li_et_al,mean_z,0.6040816326530613,0.44693877551020406,-0.1571428571428572,0.7363692310759666,0.44210375828360643
Puch,Cytokines_Li_et_al,mean_z,0.5673469387755102,0.4714285714285714,-0.09591836734693882,0.6905637191463885,0.37162145007697145
Puch,Cytotoxic_cells_Bindea_et_al,mean_z,0.6285714285714286,0.4448979591836735,-0.18367346938775508,0.7979016561772895,0.6198176201184156
Puch,DC_Bindea_et_al,mean_z,0.49183673469387756,0.3326530612244898,-0.15918367346938778,0.6457987277913084,0.4136802849530137
Puch,DDR,mean_z,0.5224489795918368,0.45918367346938777,-0.06326530612244902,-0.21935386299388188,0.07491749664363387
Puch,EMT1,mean_z,0.46530612244897956,0.5448979591836735,0.07959183673469389,-0.4852192052628917,-0.1987048230226384
Puch,EMT2,mean_z,0.5469387755102041,0.6612244897959184,0.11428571428571432,-0.4720552266125992,-0.23264778977438494
Puch,EMT3,mean_z,0.5244897959183673,0.5612244897959183,0.03673469387755102,-0.3174326768652615,-0.08749972503806967
Puch,EV_Cell_2020,mean_z,0.6836734693877551,0.6285714285714286,-0.055102040816326525,0.5042791103098376,0.21570457310871666
Puch,Eosinophils_Bindea_et_al,mean_z,0.42448979591836733,0.40816326530612246,-0.01632653061224487,0.3472168197320315,0.06707185662308643
Puch,Exhausted_CD8_Danaher_et_al,mean_z,0.4306122448979592,0.6020408163265306,0.17142857142857143,-0.7566851199669574,-0.6072616315332913
Puch,Ferroptosis,mean_z,0.710204081632653,0.6551020408163265,-0.055102040816326525,0.5389030216381664,0.28473166433387853
Puch,GPAGs,mean_z,0.40816326530612246,0.5591836734693878,0.15102040816326534,-0.6620911005811444,-0.3781890447362472
Puch,Histones,mean_z,0.34285714285714286,0.37755102040816324,0.03469387755102038,-0.489160380655461,-0.08606965821915442
Puch,Homologous_recombination,mean_z,0.3163265306122449,0.3163265306122449,0.0,-0.3165855887819316,0.00015419039259447593
Puch,ICB_resistance_Peng_et_al,mean_z,0.2897959183673469,0.5387755102040817,0.24897959183673474,-0.9057466934245958,-0.7318161646681466
Puch,Immune_Checkpoint,mean_z,0.6795918367346939,0.48775510204081635,-0.19183673469387758,0.8506050364081846,0.6217286415763178
Puch,Interferon_Receptor_Li_et_al,mean_z,0.5938775510204082,0.48775510204081635,-0.10612244897959183,0.3281544484094363,0.5245055039758953
Puch,Interferons_Li_et_al,mean_z,0.5275510204081633,0.47346938775510206,-0.05408163265306121,0.34450018223542805,0.18764212217314089
Puch,Interleukins_Li_et_al,mean_z,0.5265306122448979,0.40816326530612246,-0.11836734693877549,0.6274768461222621,0.4653438775024293
Puch,Interleukins_Receptor_Li_et_al,mean_z,0.5938775510204082,0.3408163265306122,-0.25306122448979596,0.8311869994265604,0.6816447339860372
Puch,Lymph_vessels_Bindea_et_al,mean_z,0.37755102040816324,0.6122448979591837,0.23469387755102045,-0.5831713765132785,-0.5126401895627031
Puch,MDSC_Peng_et_al,mean_z,0.4714285714285714,0.5326530612244897,0.061224489795918324,-0.5222120809692404,-0.19832610763839434
Puch,MDSC_Wang_et_al,mean_z,0.3653061224489796,0.6244897959183674,0.2591836734693878,-0.8775598698753471,-0.7475136280893266
Puch,MHC_Class_I_Rooney_et_al,mean_z,0.7918367346938775,0.6306122448979592,-0.1612244897959183,0.7866768900333814,0.8373513308332867
Puch,MT_exosome,mean_z,0.6551020408163265,0.6346938775510204,-0.020408163265306145,0.327103851857898,0.06654208956956464
Puch,Macrophages_Bindea_et_al,mean_z,0.336734693877551,0.4673469387755102,0.1306122448979592,-0.8012664691742918,-0.5150109886502878
Puch,Macrophages_Rooney_et_al,mean_z,0.2857142857142857,0.4163265306122449,0.1306122448979592,-0.6893630820956765,-0.4612700975383229
Puch,Mast_cells_Bindea_et_al,mean_z,0.5551020408163265,0.6122448979591837,0.05714285714285716,-0.5041390336663895,-0.25063497138424506
Puch,Mismatch_Repair,mean_z,0.4387755102040816,0.4346938775510204,-0.004081632653061218,-0.2802251322018484,0.016559535727969595
Puch,Molecular_Cancer_m6A,mean_z,0.5571428571428572,0.5938775510204082,0.03673469387755102,0.18022615492407035,-0.13765560499081633
Puch,NK_CD56dim_cells_Bindea_et_al,mean_z,0.6346938775510204,0.6040816326530613,-0.030612244897959107,0.6154613477760122,0.3417621448309675
Puch,NK_CD56dim_cells_Danaher_et_al,mean_z,0.6448979591836734,0.5897959183673469,-0.055102040816326525,0.6875050806828955,0.5988402530145706
Puch,NK_cells_Bindea_et_al,mean_z,0.573469387755102,0.5,-0.07346938775510203,0.526353952429068,0.17883118801437448
