"signature","cohort_left_out","pooled_auroc_without"
"Exhausted_CD8_Danaher_et_al","Riaz",0.386825777109272
"Exhausted_CD8_Danaher_et_al","Miao1",0.375783789789068
"Exhausted_CD8_Danaher_et_al","Hugo",0.376316736456071
"Exhausted_CD8_Danaher_et_al","Jung",0.389071499494725
"Exhausted_CD8_Danaher_et_al","Nathanson",0.380025198244594
"Exhausted_CD8_Danaher_et_al","Limagne2",0.389916288245528
"Ferroptosis","Mariathasan",0.518184210039913
"Ferroptosis","Braun",0.528620497523066
"Ferroptosis","Liu",0.520146228823674
"Ferroptosis","Limagne1",0.51129238368142
"Ferroptosis","Puch",0.500924880440282
"Ferroptosis","Van_Allen",0.507703612497772
"Ferroptosis","Gide",0.50727605564913
"Ferroptosis","Kim",0.518251598323909
"Ferroptosis","Riaz",0.521927834441325
"Ferroptosis","Miao1",0.522396023618719
"Ferroptosis","Hugo",0.521975825976081
"Ferroptosis","Jung",0.517949565418477
"Ferroptosis","Nathanson",0.5028980806039
"Ferroptosis","Limagne2",0.512020002952569
"GPAGs","Mariathasan",0.482906290297115
"GPAGs","Braun",0.50238042082203
"GPAGs","Liu",0.489773543224612
"GPAGs","Limagne1",0.504434137668025
"GPAGs","Puch",0.500248512527751
"GPAGs","Van_Allen",0.500239562879556
"GPAGs","Gide",0.499612035561447
"GPAGs","VanDenEnde",0.490598182801908
"GPAGs","Kim",0.488863661881963
"GPAGs","Riaz",0.495884662131331
"GPAGs","Miao1",0.49935241126349
"GPAGs","Hugo",0.491221177630777
"GPAGs","Jung",0.490556321140562
"GPAGs","Nathanson",0.494854139747645
"GPAGs","Limagne2",0.494063733921601
"Histones","Braun",0.358215770712409
"Histones","Puch",0.462493489706528
"Histones","Van_Allen",0.442383619663746
"Histones","Miao1",0.446714606685039
"Homologous_recombination","Mariathasan",0.49225780115255
"Homologous_recombination","Braun",0.452259878863079
"Homologous_recombination","Liu",0.471715591040733
"Homologous_recombination","Limagne1",0.479033448199667
"Homologous_recombination","Puch",0.485817815865923
"Homologous_recombination","Van_Allen",0.479349929386722
"Homologous_recombination","Gide",0.48212401432693
"Homologous_recombination","Kim",0.476143841931081
"Homologous_recombination","Riaz",0.470915471109008
"Homologous_recombination","Miao1",0.472131495445749
"Homologous_recombination","Hugo",0.466240078960475
"Homologous_recombination","Jung",0.466780760892971
"Homologous_recombination","Nathanson",0.46878212754928
"Homologous_recombination","Limagne2",0.472519099661856
"ICB_resistance_Peng_et_al","Mariathasan",0.405719367821199
"ICB_resistance_Peng_et_al","Braun",0.406390525573452
"ICB_resistance_Peng_et_al","Liu",0.410886724393786
"ICB_resistance_Peng_et_al","Limagne1",0.422966681510389
"ICB_resistance_Peng_et_al","Puch",0.433160179176129
"ICB_resistance_Peng_et_al","Van_Allen",0.416138718957018
"ICB_resistance_Peng_et_al","Gide",0.435476066893076
"ICB_resistance_Peng_et_al","VanDenEnde",0.420892709786742
"ICB_resistance_Peng_et_al","Kim",0.430155609412198
"ICB_resistance_Peng_et_al","Riaz",0.418970913048876
"ICB_resistance_Peng_et_al","Miao1",0.415180773987766
"ICB_resistance_Peng_et_al","Hugo",0.410855611261732
"ICB_resistance_Peng_et_al","Jung",0.421923935345192
"ICB_resistance_Peng_et_al","Nathanson",0.416661222176247
"ICB_resistance_Peng_et_al","Limagne2",0.41705929564124
"IFNG_6gene_Ayers","Mariathasan",0.629149169229797
"IFNG_6gene_Ayers","Braun",0.641922675938468
"IFNG_6gene_Ayers","Liu",0.637644985911951
"IFNG_6gene_Ayers","Limagne1",0.628263046559669
"IFNG_6gene_Ayers","Puch",0.615432127604489
"IFNG_6gene_Ayers","Van_Allen",0.629585318520269
"IFNG_6gene_Ayers","Gide",0.606682959499965
"IFNG_6gene_Ayers","Kim",0.612856286209265
"IFNG_6gene_Ayers","Riaz",0.624547710521062
"IFNG_6gene_Ayers","Miao1",0.638654579272782
"IFNG_6gene_Ayers","Hugo",0.63691293417906
"IFNG_6gene_Ayers","Jung",0.618922800974982
