signature,label,collection,n_genes,direction,pmid,reference,upstream_source,gene_set_key
Immune_Checkpoint,Immune Checkpoint,iobr,7,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,12bc1fc8407516ff
Interferon_Receptor_Li_et_al,Interferon Receptor Li et al,iobr,3,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,3946f9a0e23629c1
Interferons_Li_et_al,Interferons Li et al,iobr,17,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,cffa1927ff7c561c
Interleukins_Li_et_al,Interleukins Li et al,iobr,38,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,76bf3ea20ce73c5d
Interleukins_Receptor_Li_et_al,Interleukins Receptor Li et al,iobr,37,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,86cd82a8f68d89dd
Lymph_vessels_Bindea_et_al,Lymph vessels Bindea et al,iobr,3,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,04e43933e895812d
MDSC_Peng_et_al,MDSC Peng et al,iobr,50,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,46693eb0fc73a86b
MDSC_Wang_et_al,MDSC Wang et al,iobr,38,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,46279bde451731ad
MHC_Class_I_Rooney_et_al,MHC Class I Rooney et al,iobr,3,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,6bc39b035decab39
MT_exosome,MT exosome,iobr,10,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,08ff563b7fa6f6a0
Macrophages_Bindea_et_al,Macrophages Bindea et al,iobr,33,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,b9db5ed163e37ff3
Macrophages_Rooney_et_al,Macrophages Rooney et al,iobr,10,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,b19580850538a195
Mast_cells_Bindea_et_al,Mast cells Bindea et al,iobr,31,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,3fca6f39a388b8be
Mismatch_Repair,Mismatch Repair,iobr,23,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,e02100add4bba41c
Molecular_Cancer_m6A,Molecular Cancer m6A,iobr,21,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,6e2c9c4dbf4dbadb
NK_CD56dim_cells_Bindea_et_al,NK CD56dim cells Bindea et al,iobr,25,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,068f238d0ad0dbf9
NK_CD56dim_cells_Danaher_et_al,NK CD56dim cells Danaher et al,iobr,4,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,3d73062fd90d38f7
NK_cells_Bindea_et_al,NK cells Bindea et al,iobr,37,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,4f60998cbfc2f568
NK_cells_Danaher_et_al,NK cells Danaher et al,iobr,3,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,761291467e1772eb
NK_cells_Rooney_et_al,NK cells Rooney et al,iobr,2,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,6ea0ac52fcacc64d
Natural_Killer_Cell_Cytotoxicity_Li_et_al,Natural Killer Cell Cytotoxicity Li et al,iobr,127,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,e9b4b32b4e0c644d
Nature_metabolism_Hypoxia,Nature metabolism Hypoxia,iobr,15,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,9865ff6566c79cc7
Neutrophils_Bindea_et_al,Neutrophils Bindea et al,iobr,31,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,e9e6dc78ca14e99a
Neutrophils_Rooney_et_al,Neutrophils Rooney et al,iobr,10,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,61c9115b125a1894
Normal_mucosa_Bindea_et_al,Normal mucosa Bindea et al,iobr,32,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,31ba74c43b95ef62
